rank,title ,year,decade,domestic_gross,domestic_prcnt,foreign_gross,foreign_prcnt ,worldwide_gross,budget,budget_recovered_prcnt,times_budget_recovered,running_time,rating
462,Prince of Persia: The Sands of Time,2010,2010's,"90,759,676",27.0%,"245,606,000",73.0%,"336,365,676","200,000,000",168%,1.7,1:56:00,PG-13
463,The Curious Case of Benjamin Button,2008,2000's,"127,509,326",38.0%,"208,293,460",62.0%,"335,802,786","150,000,000",224%,2.2,2:46:00,PG-13
464,Journey 2: The Mysterious Island,2012,2010's,"103,887,748",31.0%,"231,400,000",69.0%,"335,287,748","79,000,000",424%,4.2,1:34:00,PG
465,The Rock,1996,1990's,"134,069,511",40.0%,"200,993,110",60.0%,"335,062,621","75,000,000",447%,4.5,2:16:00,R
466,The Great Wall,2016,2010's,"45,540,830",13.6%,"289,393,001",86.4%,"334,933,831","150,000,000",223%,2.2,1:43:00,PG-13
467,Now You See Me 2,2016,2010's,"65,075,540",19.4%,"269,822,066",80.6%,"334,897,606","90,000,000",372%,3.7,2:09:00,PG-13
468,Never Say Die,2017,2010's,0,0.0%,"334,530,869",100.0%,"334,530,869",N/A,N/A,N/A,1:40:00,NR
469,Bridget Jones's Diary,2001,2000's,"71,543,427",21.4%,"262,729,136",78.6%,"334,272,563","25,000,000",1337%,13.4,1:37:00,R
470,Fantastic Four,2005,2000's,"154,696,080",46.4%,"178,839,854",53.6%,"333,535,934","100,000,000",334%,3.3,1:46:00,PG-13
471,Indiana Jones and the Temple of Doom,1984,1980's,"179,870,271",54.0%,"153,237,000",46.0%,"333,107,271","28,000,000",1190%,11.9,1:58:00,PG
472,Tomorrow Never Dies,1997,1990's,"125,304,276",37.6%,"207,706,792",62.4%,"333,011,068","110,000,000",303%,3.0,1:59:00,PG-13
473,Back to the Future Part II,1989,1980's,"119,000,002",35.8%,"213,500,000",64.2%,"332,500,002","40,000,000",831%,8.3,1:48:00,PG
474,The Good Dinosaur,2015,2010's,"123,087,120",37.1%,"209,120,551",62.9%,"332,207,671","187,500,000",177%,1.8,1:33:00,PG
475,Free Guy,2021,2020's,"121,626,598",36.7%,"209,900,000",63.3%,"331,526,598","100,000,000",332%,3.3,1:55:00,PG-13
476,22 Jump Street,2014,2010's,"191,719,337",57.9%,"139,614,539",42.1%,"331,333,876","50,000,000",663%,6.6,1:52:00,R
477,Meet the Parents,2000,2000's,"166,244,045",50.3%,"164,200,000",49.7%,"330,444,045","55,000,000",601%,6.0,1:48:00,PG-13
478,Who Framed Roger Rabbit,1988,1980's,"156,452,370",47.4%,"173,351,588",52.6%,"329,803,958","70,000,000",471%,4.7,1:44:00,PG
479,Black Swan,2010,2010's,"106,954,678",32.5%,"222,443,368",67.5%,"329,398,046","13,000,000",2534%,25.3,1:48:00,R
480,The Perfect Storm,2000,2000's,"182,618,434",55.6%,"146,100,000",44.4%,"328,718,434","140,000,000",235%,2.3,2:10:00,PG-13
481,John Wick: Chapter 3 - Parabellum,2019,2010's,"171,015,678",52.1%,"157,333,700",47.9%,"328,349,378","75,000,000",438%,4.4,2:10:00,R
482,Crocodile Dundee,1986,1980's,"174,803,506",53.3%,"153,400,000",46.7%,"328,203,506","8,800,000",3730%,37.3,1:37:00,PG-13
483,Crazy Alien,2019,2010's,"1,448,588",0.4%,"326,150,303",99.6%,"327,598,891","105,000,000",312%,3.1,1:56:00,NR
484,Se7en,1995,1990's,"100,125,643",30.6%,"227,207,916",69.4%,"327,333,559","33,000,000",992%,9.9,2:07:00,R
485,The Devil Wears Prada,2006,2000's,"124,740,460",38.2%,"201,965,655",61.8%,"326,706,115","35,000,000",933%,9.3,1:49:00,PG-13
486,Taken 3,2015,2010's,"89,256,424",27.3%,"237,222,717",72.7%,"326,479,141","48,000,000",680%,6.8,1:48:00,PG-13
487,The Hunchback of Notre Dame,1996,1990's,"100,138,851",30.8%,"225,200,000",69.2%,"325,338,851","100,000,000",325%,3.3,1:31:00,G
488,A Christmas Carol,2009,2000's,"137,855,863",42.4%,"187,430,783",57.6%,"325,286,646","200,000,000",163%,1.6,1:36:00,PG
489,The SpongeBob Movie: Sponge Out of Water,2015,2010's,"162,994,032",50.1%,"162,192,000",49.9%,"325,186,032","74,000,000",439%,4.4,1:32:00,PG
490,The Conjuring 2,2016,2010's,"102,516,140",31.8%,"220,295,401",68.2%,"322,811,541","40,000,000",807%,8.1,2:14:00,R
491,Schindler's List,1993,1990's,"96,898,818",30.1%,"225,262,427",69.9%,"322,161,245","22,000,000",1464%,14.6,3:15:00,R
492,Megamind,2010,2010's,"148,415,853",46.1%,"173,469,912",53.9%,"321,885,765","130,000,000",248%,2.5,1:35:00,PG
493,Green Book,2018,2010's,"85,080,171",26.4%,"236,672,485",73.6%,"321,752,656","23,000,000",1399%,14.0,2:10:00,PG-13
494,Lethal Weapon 3,1992,1990's,"144,731,527",45.0%,"177,000,000",55.0%,"321,731,527","35,000,000",919%,9.2,1:58:00,R
495,Robin Hood,2010,2010's,"105,269,730",32.7%,"216,400,011",67.3%,"321,669,741","200,000,000",161%,1.6,2:20:00,PG-13
496,Inglourious Basterds,2009,2000's,"120,540,719",37.5%,"200,917,028",62.5%,"321,457,747","70,000,000",459%,4.6,2:33:00,R
497,101 Dalmatians,1996,1990's,"136,189,294",42.5%,"184,500,000",57.5%,"320,689,294","67,000,000",479%,4.8,1:43:00,G
498,The Conjuring,2013,2010's,"137,446,368",42.9%,"182,959,874",57.1%,"320,406,242","20,000,000",1602%,16.0,1:52:00,R
499,Fatal Attraction,1987,1980's,"156,645,693",48.9%,"163,500,000",51.1%,"320,145,693","14,000,000",2287%,22.9,1:59:00,R
500,Sonic the Hedgehog,2020,2020's,"148,974,665",46.6%,"170,741,018",53.4%,"319,715,683","85,000,000",376%,3.8,1:39:00,PG
