rank,title ,year,decade,domestic_gross,domestic_prcnt,foreign_gross,foreign_prcnt ,worldwide_gross,budget,budget_recovered_prcnt,times_budget_recovered,running_time,rating
386,Batman Begins,2005,2000's,"206,863,479",55.4%,"166,809,514",44.6%,"373,672,993","150,000,000",249%,2.5,2:20:00,PG-13
387,Penguins of Madagascar,2014,2010's,"83,850,911",22.4%,"289,664,710",77.6%,"373,515,621","132,000,000",283%,2.8,1:32:00,PG
388,X-Men Origins: Wolverine,2009,2000's,"179,883,157",48.2%,"193,179,707",51.8%,"373,062,864","150,000,000",249%,2.5,1:47:00,PG-13
389,The Golden Compass,2007,2000's,"70,107,728",18.8%,"302,127,136",81.2%,"372,234,864","180,000,000",207%,2.1,1:53:00,PG-13
390,Fifty Shades Freed,2018,2010's,"100,407,760",27.0%,"271,577,258",73.0%,"371,985,018","55,000,000",676%,6.8,1:45:00,R
391,Hitch,2005,2000's,"179,495,555",48.3%,"192,098,655",51.7%,"371,594,210","70,000,000",531%,5.3,1:58:00,PG-13
392,Terminator Salvation,2009,2000's,"125,322,469",33.7%,"246,030,532",66.3%,"371,353,001","200,000,000",186%,1.9,1:55:00,PG-13
393,Captain America: The First Avenger,2011,2010's,"176,654,505",47.7%,"193,915,269",52.3%,"370,569,774","140,000,000",265%,2.6,2:04:00,PG-13
394,Edge of Tomorrow,2014,2010's,"100,206,256",27.0%,"270,335,000",73.0%,"370,541,256","178,000,000",208%,2.1,1:53:00,PG-13
395,There's Something About Mary,1998,1990's,"176,484,651",47.7%,"193,400,000",52.3%,"369,884,651","23,000,000",1608%,16.1,1:59:00,R
396,Gone Girl,2014,2010's,"167,767,189",45.4%,"201,563,174",54.6%,"369,330,363","61,000,000",605%,6.1,2:29:00,R
397,The Exorcist,1973,1970's,"233,005,644",63.1%,"136,017,945",36.9%,"369,023,589","11,000,000",3355%,33.5,2:02:00,R
398,The Fugitive,1993,1990's,"183,875,760",49.8%,"185,000,000",50.2%,"368,875,760","44,000,000",838%,8.4,2:10:00,PG-13
399,Jurassic Park III,2001,2000's,"181,171,875",49.1%,"187,608,934",50.9%,"368,780,809","93,000,000",397%,4.0,1:32:00,PG-13
400,My Big Fat Greek Wedding,2002,2000's,"241,438,208",65.5%,"127,305,836",34.5%,"368,744,044","5,000,000",7375%,73.7,1:35:00,PG
401,Shazam!,2019,2010's,"140,480,049",38.2%,"227,318,962",61.8%,"367,799,011","100,000,000",368%,3.7,2:12:00,PG-13
402,Hello Mr. Billionaire,2018,2010's,0,0.0%,"366,961,907",100.0%,"366,961,907",N/A,N/A,N/A,1:58:00,NR
403,Die Hard with a Vengeance,1995,1990's,"100,012,499",27.3%,"266,089,167",72.7%,"366,101,666","90,000,000",407%,4.1,2:08:00,R
404,The Nun,2018,2010's,"117,481,222",32.1%,"248,101,575",67.9%,"365,582,797","22,000,000",1662%,16.6,1:36:00,R
405,Alvin and the Chipmunks,2007,2000's,"217,326,974",59.5%,"148,025,572",40.5%,"365,352,546","60,000,000",609%,6.1,1:32:00,PG
406,Tenet,2020,2020's,"58,504,105",16.0%,"306,800,000",84.0%,"365,304,105","205,000,000",178%,1.8,2:30:00,PG-13
407,Notting Hill,1999,1990's,"116,089,678",31.9%,"247,800,000",68.1%,"363,889,678","42,000,000",866%,8.7,2:04:00,PG-13
408,A Bug's Life,1998,1990's,"162,798,565",44.8%,"200,460,294",55.2%,"363,258,859","120,000,000",303%,3.0,1:35:00,G
409,Night at the Museum: Secret of the Tomb,2014,2010's,"113,746,621",31.3%,"249,458,014",68.7%,"363,204,635","127,000,000",286%,2.9,1:38:00,PG
410,Ocean's Twelve,2004,2000's,"125,544,280",34.6%,"237,200,000",65.4%,"362,744,280","110,000,000",330%,3.3,2:05:00,PG-13
411,Planet of the Apes,2001,2000's,"180,011,740",49.7%,"182,200,000",50.3%,"362,211,740","100,000,000",362%,3.6,2:00:00,PG-13
412,The Hangover Part III,2013,2010's,"112,200,072",31.0%,"249,800,000",69.0%,"362,000,072","103,000,000",351%,3.5,1:40:00,R
